sampleid	MouseID	Corticosterone	Cortisol	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA	Sampletype
R1_S1_6342	6342	31085	NA	227242	1616692	17073	28115	19293	98958	3827280	11421	11894884	34262	Sample
R1_S10_6303	6303	203488	11531	233790	1673840	44286	65386	28998	218798	3696066	5980	22571728	58609	Sample
R1_S11_6324	6324	43331	NA	209897	1414850	25119	25696	13931	112828	3231473	6544	14548817	48177	Sample
R1_S12_6344	6344	26797	NA	354490	1636568	36252	19703	12520	117755	2152214	6353	12862708	41203	Sample
R1_S13_5916	5916	214210	4725	177797	1496206	27325	54501	21591	230712	4138491	7814	21413596	68147	Sample
R1_S14_6308	6308	151434	NA	262351	1920356	43078	38504	24282	298738	5807866	6520	18744812	78144	Sample
R1_S15_6327	6327	63795	3072	222018	1689093	18143	31082	31981	141981	1564996	8564	16805014	43668	Sample
R1_S16_5847	5847	189332	3143	452611	1586897	43871	50034	10617	162922	3467212	7653	23049252	59999	Sample
R1_S17_6357	6357	8630	NA	251493	1323054	18609	37955	36753	160192	3072841	7651	18431510	44908	Sample
R1_S18_6329	6329	66085	NA	313649	1808228	16128	27795	20678	150804	3309144	7510	15296231	53897	Sample
R1_S19_6309	6309	157237	NA	378458	1825556	47898	43550	30898	186370	4076173	4778	22968076	94687	Sample
R1_S2_5810	5810	101659	NA	259242	1422291	54071	53232	38081	225604	1739375	5558	18651226	56272	Sample
R1_S20_6193	6193	118134	NA	320907	1636888	26098	29365	26574	148599	2237142	6819	14364480	50042	Sample
R1_S21_5812	5812	215813	11541	214211	1782175	35122	38772	20730	179787	3251452	6881	19494930	68088	Sample
R1_S22_6188	6188	103011	4195	266879	1485058	19045	27301	12794	130824	3259249	12759	15102808	41189	Sample
R1_S23_5799	5799	100969	NA	213203	1640203	25466	34365	20623	166838	2101874	6465	21262120	82878	Sample
R1_S24_6330	6330	54616	NA	469459	1428754	25936	26729	15453	88942	4070754	9566	15214655	48964	Sample
R1_S25_5950	5950	227520	4280	270229	1768947	47461	38219	23540	156007	3598263	6865	21171836	42082	Sample
R1_S26_6191	6191	74473	NA	259238	1720827	22994	21209	20942	126845	3809938	8610	16342613	67366	Sample
R1_S27_6346	6346	64309	NA	293281	1491878	12222	23633	46061	135579	3074805	8541	18373664	80493	Sample
R1_S28_6310	6310	128173	NA	433746	1973263	37468	38412	32586	243748	4145683	7039	22285886	71247	Sample
R1_S29_6295	6295	276321	7644	159143	1551147	24883	38150	26685	158500	3741037	9883	22289926	57076	Sample
R1_S3_6326	6326	112801	4742	385306	1481964	28431	34034	21512	192807	3672637	6602	18578428	51791	Sample
R1_S30_5811	5811	138346	4574	509415	1714790	96594	41222	26037	186422	1712755	6604	21220232	62009	Sample
R1_S31_6343	6343	33947	NA	312428	1344849	22401	25866	58652	248278	3336888	9259	19681328	64854	Sample
R1_S32_6335	6335	74921	NA	250835	1470337	14564	19689	33032	142468	3044305	7629	17860050	54516	Sample
R1_S33_5851	5851	202826	5191	272134	1445624	23680	25695	30960	189060	3784285	4809	20586968	80654	Sample
R1_S34_5953	5953	167724	3277	290999	1570562	97713	35948	30371	177958	4112580	7393	19407708	64046	Sample
R1_S35_6356	6356	13151	2424	289142	1363470	19378	19018	24921	130045	2837522	7839	15801643	49733	Sample
R1_S36_5949	5949	188642	8571	182578	1767233	18162	57276	22510	204483	3178511	8483	21793312	53290	Sample
R1_S37_5952	5952	81714	NA	190096	1623422	24451	54635	18915	168218	6305364	7152	20515434	68974	Sample
R1_S38_6178	6178	93796	4971	447093	1779138	46003	16452	13970	86115	2165569	9384	10645272	64397	Sample
R1_S39_6355	6355	17637	NA	320769	1593506	18450	14623	13469	114006	3167865	9003	13924046	42302	Sample
R1_S4_5887	5887	246777	4769	208648	1653665	68485	42228	16320	204013	2348365	6153	22349202	51814	Sample
R1_S40_6181	6181	61700	NA	419708	1662944	22932	20474	30932	198700	4100507	9614	16715806	86505	Sample
R1_S41_6292	6292	47335	NA	467936	1696200	34016	24666	13643	127779	4086424	7553	13573525	84379	Sample
R1_S42_5814	5814	124092	4193	328520	1421161	38693	26593	30613	204107	1955521	8500	21249018	70976	Sample
R1_S5_6304	6304	119459	NA	214712	1793833	57113	39229	25121	208406	4543299	5887	21065766	58927	Sample
R1_S6_6300	6300	74875	NA	215908	1930530	14978	33540	27141	162758	4381793	7426	20397092	88602	Sample
R1_S7_6192	6192	64003	NA	216629	1446314	13385	27481	19023	146415	2954529	8510	14708930	35838	Sample
R1_S8_6334	6334	33345	5222	162922	1808253	14284	24782	17432	160110	3260309	11151	16208520	46813	Sample
R1_S9_6189	6189	34664	NA	317528	1625851	45796	17800	11841	120014	1819968	9539	14204417	41077	Sample
R3_S1_6405	6405	215342	NA	195581	1849925	11592	60952	23040	142200	4359902	10336	19290008	63707	Sample
R3_S10_6392	6392	91695	3852	324405	1526463	58595	35446	56896	287874	4445090	6991	23584832	65906	Sample
R3_S11_6456	6456	49743	NA	222315	1406305	14466	15091	14205	75181	3230218	9814	14129334	46580	Sample
R3_S12_6425	6425	4496	NA	311939	1412282	11683	15608	17580	79284	2925876	10376	11131848	40506	Sample
R3_S13_6391	6391	286111	16368	396638	1644500	67859	66111	40621	212765	3272081	9520	24365336	64753	Sample
R3_S14_6397	6397	200358	NA	211105	1312730	34614	57135	48993	215145	5393652	8686	24023004	50812	Sample
R3_S15_6468	6468	51525	5265	247962	1469045	17738	22767	34510	131284	4556338	10873	17021258	41575	Sample
R3_S16_6459	6459	25763	NA	260599	1281219	17722	29473	25149	137241	3250410	9997	19139326	17443	Sample
R3_S17_6429	6429	17674	NA	299421	1486740	26754	21095	29425	102772	3350750	9486	14560136	62852	Sample
R3_S18_6483	6483	115004	NA	217787	1561991	25181	31497	31640	201532	3279171	6617	19971378	44719	Sample
R3_S19_6466	6466	25688	NA	246045	1485918	10046	33586	31950	133883	2745123	16192	18042624	42072	Sample
R3_S2_6445	6445	194979	6462	246527	1902197	25581	30064	22869	212328	4128867	8758	24063408	51360	Sample
R3_S20_6453	6453	73382	3138	187788	1539909	41840	15594	42146	118364	3110145	9680	16732974	36700	Sample
R3_S21_6385	6385	88091	NA	315324	1295831	12499	21137	17507	81908	2773834	10953	20349990	39571	Sample
R3_S22_6442	6442	236239	4914	254002	1431383	45483	32010	42769	178805	4337321	6271	21733088	56276	Sample
R3_S23_6450	6450	145875	NA	204932	1027857	28450	64683	69664	229713	3785646	8513	19852664	36400	Sample
R3_S24_6484	6484	72675	3507	248473	1435500	35767	35934	28853	206594	2508896	6900	17864650	44658	Sample
R3_S25_6375	6375	99445	NA	404721	1469499	12625	35865	31588	101906	2649200	14224	16610983	47424	Sample
R3_S26_6439	6439	184030	4951	203283	1575174	36835	34778	33095	258155	2993840	7616	21285866	40545	Sample
R3_S27_6465	6465	56625	3890	218802	1419292	16039	19698	25591	119601	1530595	7830	14840681	25611	Sample
R3_S28_6396	6396	179955	7262	128377	1334301	18626	34036	32526	210545	4384447	9022	22963272	37075	Sample
R3_S29_6376	6376	36643	NA	220409	1397459	19284	19317	25657	102016	3616675	10152	13965384	47471	Sample
R3_S3_6383	6383	35894	NA	264350	1383894	12439	24262	12688	105995	1351865	9518	15065666	50228	Sample
R3_S30_6479	6479	113479	7856	164254	1655972	16913	32798	44546	291309	3339506	7291	21789396	55458	Sample
R3_S31_6430	6430	43005	4643	347022	1337942	18343	24862	18945	98168	2596503	15631	15757117	50142	Sample
R3_S32_6371	6371	65725	NA	278791	1565490	16918	14181	32740	96543	3804131	10459	16583699	53834	Sample
R3_S33_6446	6446	70139	3371	317434	1688419	27755	37820	44049	159699	4105874	11564	26224062	61358	Sample
R3_S34_6475	6475	139390	NA	195555	1111170	29396	33659	26753	188844	2652436	9553	23119376	31843	Sample
R3_S35_6427	6427	49149	2766	258236	1216030	25157	15327	19793	93888	1881289	9948	13322369	34365	Sample
R3_S36_6433	6433	106560	3136	310390	997466	109898	22576	32565	215567	2755417	8725	21629672	38571	Sample
R3_S37_6420	6420	75695	NA	204882	1053617	18351	31022	44281	134132	2755609	12240	15500971	98051	Sample
R3_S38_6388	6388	53186	2101	238537	1276658	21744	17697	21420	85428	3437406	9919	13732955	50562	Sample
R3_S39_6395	6395	162696	10910	238573	1174956	21445	49196	55114	308074	4753351	8273	24518854	57441	Sample
R3_S4_6463	6463	39097	NA	377343	1414121	20438	19661	26833	92738	2915565	8350	18948782	35639	Sample
R3_S40_6416	6416	7784	NA	235540	1111184	25032	17013	16056	109013	2522669	10106	14039280	36929	Sample
R3_S41_6443	6443	157183	8343	285203	1921244	57628	22956	23863	137117	3183037	8709	22467520	33638	Sample
R3_S42_6436	6436	122623	5782	228842	1342060	24493	23805	26858	114246	3522296	10050	19939774	46711	Sample
R3_S43_6421	6421	19658	2122	264349	1187451	16422	25664	32618	117242	3125980	16539	14908214	37153	Sample
R3_S44_6402	6402	135800	NA	216375	1272771	37057	35462	26272	197711	3384520	7404	19509780	21498	Sample
R3_S45_6400	6400	166315	5474	180878	1505423	30671	29874	30309	140740	3545244	8417	21254026	65956	Sample
R3_S46_6489	6489	112562	NA	257434	1596463	5694	25667	35789	231872	2870909	9731	25224012	67288	Sample
R3_S47_6477	6477	152491	14673	214978	1348779	45678	28751	38652	206917	2950960	12066	20615718	55952	Sample
R3_S5_6486	6486	90147	NA	212729	1171926	28511	26059	24419	140741	2842094	6794	20315016	47292	Sample
R3_S6_6418	6418	67926	3841	244404	1715564	15992	13241	17225	112556	3254361	6107	12523342	56870	Sample
R3_S7_6471	6471	135853	9990	270607	1633529	34319	39089	21290	138103	4248747	12441	19899600	38638	Sample
R3_S8_6382	6382	68161	NA	293059	1314543	16628	18919	15829	96489	4175509	9006	17649692	31463	Sample
R3_S9_6438	6438	151351	4637	185931	1309344	21193	48512	26493	109071	3934302	7980	16913618	47604	Sample
R1_QC_Pool_T_tube1_1	NA	157216	4723	275277	1604581	38499	43550	14827	136094	3037042	7972	13502331	54245	QC pool test
R1_QC_Pool_T_tube1_2	NA	165581	5624	269714	1581479	28750	41439	19215	166165	4138117	11638	17881734	52493	QC pool test
R1_QC_Pool_T_tube1_3	NA	139760	5535	281740	1651820	32655	42398	17578	172234	3761523	10888	18112988	57185	QC pool test
R1_QC_Pool_T_tube1_4	NA	131749	4910	336465	1424140	33741	38833	23926	176429	2962413	11530	17658580	59634	QC pool test
R1_QC_Pool_T_tube1_5	NA	118813	4545	327383	1810478	25793	44457	23457	183786	3277519	10513	19657028	63708	QC pool test
R1_QC_Pool_T_tube2_6	NA	122541	4672	355404	1662991	33963	42967	24329	189585	3468447	10936	19074454	65286	QC pool test
R1_QC_Pool_T_tube2_7	NA	128322	4925	376387	1681753	29042	46926	24961	192538	3470465	10991	19760004	73077	QC pool test
R1_QC_Pool_T_tube2_8	NA	124052	4952	378240	1589825	35171	43905	28334	173332	3617971	10414	18793250	67985	QC pool test
R1_QC_Pool_T_tube2_9	NA	132035	4708	397463	1793560	24747	43443	28444	182336	3623592	11443	18681760	71036	QC pool test
R3_QC_Pool_T_tube1_1	NA	139497	5558	311562	1613078	14016	43334	29806	162466	4129960	11471	19226706	53123	QC pool test
R3_QC_Pool_T_tube1_2	NA	132793	5005	303769	1633604	22500	42656	30270	150400	3696333	13124	18837422	52328	QC pool test
R3_QC_Pool_T_tube1_3	NA	113492	5257	300858	1661709	29063	43228	25313	139944	3517365	12634	18518910	56717	QC pool test
R3_QC_Pool_T_tube2_4	NA	109462	5731	278247	1423506	19103	41207	27161	147248	3431068	12196	17295672	50601	QC pool test
R3_QC_Pool_T_tube2_5	NA	117284	6203	321658	1455107	23506	46967	36838	176866	3504206	13738	20510862	56616	QC pool test
R3_QC_Pool_T_tube2_6	NA	120785	5022	222844	1242762	29313	45310	32233	162153	3724878	12300	19509738	48543	QC pool test
R3_QC_Pool_T_tube3_7	NA	112720	5305	293639	1426830	28026	43306	32240	167337	3535968	12279	19344724	54176	QC pool test
R3_QC_Pool_T_tube3_8	NA	117009	6177	275072	1302391	28647	45825	34495	162653	3405174	13430	19622620	48996	QC pool test
R3_QC_Pool_T_tube3_9	NA	115906	4838	291262	1389891	29128	44948	35121	150130	3301892	12534	19385512	48996	QC pool test
R3_QC_Pool_T_tube4_10	NA	118129	5301	225069	1349528	27586	43867	32267	165472	3183862	11868	18728418	50541	QC pool test
R3_QC_Pool_T_tube4_11	NA	121222	5953	272135	1213803	29055	44477	27287	130593	3155304	11930	17146236	50891	QC pool test
R1_QC_Pool_P_tube1_1	NA	1317659	562523	268080	1570493	741804	453859	1599532	1770725	4900187	260034	16406381	96685	QC pool positive
R1_QC_Pool_P_tube1_2	NA	1322269	551894	275285	1529096	635866	387573	1817286	2010642	5984882	340240	18262748	87223	QC pool positive
R1_QC_Pool_P_tube1_3	NA	1211598	524701	260275	1503345	689644	409806	1902652	2046509	5771051	344246	19072568	89379	QC pool positive
R1_QC_Pool_P_tube1_4	NA	1230564	517156	321432	1493051	738558	429724	2043808	2040707	4881141	343599	19542786	113111	QC pool positive
R1_QC_Pool_P_tube1_5	NA	1228278	517037	353779	1624084	663846	411699	2210410	2168595	4771605	344472	19452586	117089	QC pool positive
R1_QC_Pool_P_tube2_6	NA	1218228	531394	363746	1558936	695361	326425	2266265	2275750	4861860	343809	19770280	117214	QC pool positive
R1_QC_Pool_P_tube2_7	NA	1160082	575514	377086	1620623	767035	322862	2438828	2268533	5055415	369320	20479648	118458	QC pool positive
R1_QC_Pool_P_tube2_8	NA	1110818	633489	381376	1588118	732749	328322	2218391	2095766	5492592	387724	19805036	119038	QC pool positive
R1_QC_Pool_P_tube2_9	NA	1075635	668789	384385	1758260	739198	345392	2033050	2008856	4670485	361381	19368220	126868	QC pool positive
R3_QC_Pool_P_tube1_1	NA	1301009	677734	305566	1654749	515083	302893	2095162	1962231	5590494	415397	20473114	102809	QC pool positive
R3_QC_Pool_P_tube1_2	NA	1271369	645697	263309	1534878	569742	308004	2407886	2122876	5931683	431602	22089948	92040	QC pool positive
R3_QC_Pool_P_tube1_3	NA	1175894	602552	293740	1618618	801985	298741	1984788	1808823	5255662	388445	18617956	94788	QC pool positive
R3_QC_Pool_P_tube2_4	NA	1157638	603901	279211	1449056	793025	301475	2030427	1899196	5298075	389078	18630350	91985	QC pool positive
R3_QC_Pool_P_tube2_5	NA	1326940	593128	296387	1433977	765777	320528	2567267	2128057	5616305	426291	21440968	84934	QC pool positive
R3_QC_Pool_P_tube2_6	NA	1221632	571240	266113	1369890	763968	323935	2512452	2080100	5033277	389258	20191680	90210	QC pool positive
R3_QC_Pool_P_tube3_7	NA	1170051	572389	295292	1345500	800372	311395	2354762	2026899	4984183	406767	19679416	96838	QC pool positive
R3_QC_Pool_P_tube3_8	NA	1114683	611680	271926	1314591	816090	310380	2533061	2042825	5396625	419346	20084896	93782	QC pool positive
R3_QC_Pool_P_tube3_9	NA	1075053	634514	280130	1287089	762116	304973	2319026	1993948	5198798	415786	19446350	92747	QC pool positive
R3_QC_Pool_P_tube4_10	NA	1076902	647728	213278	1191968	751254	297999	2231926	1922560	4315549	426549	19188320	89688	QC pool positive
R3_QC_Pool_P_tube4_11	NA	1061249	637500	237798	1089197	702656	331265	1990397	1808330	4848559	410153	18499960	87935	QC pool positive
S1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Standard average
S2	NA	2999.75	2502.5	NA	NA	NA	NA	4371	NA	1197.25	834.75	NA	NA	Standard average
S3	NA	14861	11956.25	NA	NA	NA	4956.5	23838.25	12445.25	10849.5	3550.5	19288.5	5805.75	Standard average
S4	NA	66514.5	53734	NA	NA	3169	25606.75	121391.25	53876.5	62337.75	16243.5	103675.5	25857.5	Standard average
S5	NA	342746.25	263377.25	NA	NA	175774.25	127751.75	551735.75	283474.5	252411	84550	468908.25	113701.75	Standard average
S6	NA	1445849.25	1112118.75	NA	NA	1712046.75	582826.25	2534064.5	1223151	1117902	383419.5	2259251.5	484328	Standard average
S7	NA	4974382.5	3532956.5	NA	NA	7779488.25	2197246.5	10207641.5	4306357.75	3726578.5	1665919.5	9710606.75	1780928	Standard average
S8	NA	12968949.25	7962375.25	NA	NA	24895236	6366581	35979345.5	11458445.25	8957918.25	5796662.25	37734017	5148264.5	Standard average
Samples_Average	NA	105004.315	5751.605	270772.708	1513010.708	30061.247	31493.36	27682.022	160390.921	3333482.933	8807.775	18546090.16	53049.382	Metrics
QC_Pool_Test_Average	NA	126918.4	5247.2	304709.4	1525641.8	28115.2	43652.15	27405.1	164388.05	3497154.95	11691.45	18562447.45	56808.85	Metrics
QC_Pool_Positive_Average	NA	1191377.6	594028	299409.7	1476775.9	722306.4	341362.5	2177868.8	2024096.4	5192921.4	380674.8	19525160.6	100141.1	Metrics
ratio.sample.QC_test	NA	0.8273372	1.0961283	0.888626	0.9917208	1.0692169	0.7214618	1.0101048	0.9756848	0.9531985	0.7533518	0.9991188	0.9338225	Metrics
RSD.QC_pos	NA	7.4	8.5	NA	NA	10.8	14.2	11.8	6.8	8.5	11.2	6.1	13.2	Metrics
RSD.QC_test	NA	11.5	9.6	15.5	11.4	20	4.4	21.4	10.7	8.8	10.9	7.9	13.3	Metrics
